Date,Net Worth
2016-10-28,-191.73
2016-10-31,-190.59
2016-10-31,-215.94
2016-10-31,-213.76
2016-11-02,-246.85
2016-11-02,217.69000000000003
2016-11-10,211.69000000000003
2016-11-10,208.71000000000004
2016-11-15,2547.51
2016-11-16,3012.04
2016-11-17,3006.71
2016-11-22,3003.73
2016-11-28,3002.23
2016-11-28,2990.73
2016-11-28,3089.08
2016-11-30,3091.19
2016-11-30,3555.71
2016-11-30,3457.36
2016-11-30,3458.88
2016-12-05,3430.63
2016-12-07,3422.55
2016-12-07,3432.69
2016-12-08,8432.69
2016-12-08,7712.6900000000005
2016-12-08,2712.6900000000005
2016-12-08,2706.7400000000007
2016-12-13,3333.810000000001
2016-12-15,3311.360000000001
2016-12-16,7311.360000000001
2016-12-16,10416.79
2016-12-16,6416.790000000001
2016-12-20,6393.470000000001
2016-12-26,6380.600000000001
2016-12-26,6350.1100000000015
2016-12-26,6341.600000000001
2016-12-28,6806.120000000001
2016-12-28,6858.700000000001
2016-12-30,6806.120000000001
2016-12-31,6806.710000000001
2016-12-31,6812.920000000001
2017-01-01,6822.020000000001
2017-01-04,6842.020000000001
2017-01-09,6841.800000000001
2017-01-09,6838.590000000001
2017-01-09,6796.800000000001
2017-01-09,6757.280000000001
2017-01-09,6754.370000000001
2017-01-09,6753.800000000001
2017-01-09,6747.990000000001
2017-01-10,6740.910000000001
2017-01-10,6740.27
2017-01-11,6727.490000000001
2017-01-12,6517.97
2017-01-17,6516.490000000001
2017-01-17,6505.9400000000005
2017-01-17,6500.740000000001
2017-01-19,7998.890000000001
2017-01-20,7933.890000000001
2017-01-20,7876.100000000001
2017-01-23,7856.9000000000015
2017-01-23,7850.130000000001
2017-01-23,7751.840000000001
2017-01-23,7722.560000000001
2017-01-24,7675.120000000002
2017-01-26,7675.690000000001
2017-01-26,7777.220000000001
2017-01-28,7768.220000000001
2017-01-28,7748.220000000001
2017-01-28,7742.220000000001
2017-01-30,7737.540000000001
2017-01-30,7636.010000000001
2017-01-31,7635.750000000001
2017-01-31,7634.390000000001
2017-01-31,7642.710000000001
2017-01-31,7643.220000000001
2017-02-01,7639.970000000001
2017-02-02,8922.500000000002
2017-02-03,8925.410000000002
2017-02-03,11925.410000000002
2017-02-03,8925.410000000002
2017-02-06,8906.180000000002
2017-02-06,8824.930000000002
2017-02-06,8785.390000000001
2017-02-07,8772.090000000002
2017-02-08,8735.730000000001
2017-02-14,8723.03
2017-02-16,10005.560000000001
2017-02-19,9990.560000000001
2017-02-20,9955.2
2017-02-27,9926.95
2017-02-27,10388.550000000001
2017-02-28,10397.78
2017-02-28,10398.210000000001
2017-03-01,10390.300000000001
2017-03-01,10394.130000000001
2017-03-01,9932.53
2017-03-02,11215.060000000001
2017-03-08,11208.070000000002
2017-03-15,11204.820000000002
2017-03-16,12487.350000000002
2017-03-20,12487.570000000002
2017-03-21,12481.580000000002
2017-03-22,12456.970000000001
2017-03-22,12453.720000000001
2017-03-24,12418.720000000001
2017-03-27,12410.810000000001
2017-03-27,12684.710000000001
2017-03-27,12675.890000000001
2017-03-27,12656.910000000002
2017-03-29,12383.010000000002
2017-03-29,12379.760000000002
2017-03-30,13662.290000000003
2017-03-31,13672.660000000003
2017-03-31,13673.390000000003
2017-04-01,13677.950000000003
2017-04-04,13675.520000000002
2017-04-04,13673.090000000002
2017-04-05,13669.840000000002
2017-04-05,13680.110000000002
2017-04-10,13682.540000000003
2017-04-11,13685.750000000002
2017-04-11,13672.210000000001
2017-04-12,14954.740000000002
2017-04-12,14951.490000000002
2017-04-17,14944.140000000001
2017-04-17,14934.53
2017-04-19,14901.44
2017-04-19,15121.18
2017-04-19,15119.68
2017-04-21,15097.4
2017-04-22,9975.86
2017-04-24,9932.880000000001
2017-04-24,9916.130000000001
2017-04-24,9911.84
2017-04-26,9992.51
2017-04-27,11275.04
2017-04-28,11194.37
2017-04-30,11204.410000000002
2017-04-30,11183.420000000002
2017-04-30,11184.270000000002
2017-05-01,11166.590000000002
2017-05-02,11164.880000000003
2017-05-03,11135.320000000003
2017-05-05,11123.540000000003
2017-05-09,11117.670000000002
2017-05-10,11102.990000000002
2017-05-11,11077.840000000002
2017-05-11,11087.840000000002
2017-05-22,11059.590000000002
2017-05-24,10984.590000000002
2017-05-26,11194.320000000002
2017-05-30,10984.590000000002
2017-05-31,10994.980000000001
2017-05-31,11321.390000000001
2017-05-31,11322.010000000002
2017-05-31,11299.730000000001
2017-06-01,11296.240000000002
2017-06-02,11274.750000000002
2017-06-02,11253.260000000002
2017-06-02,11231.770000000002
2017-06-07,11189.780000000002
2017-06-07,11147.790000000003
2017-06-07,11126.300000000003
2017-06-12,11110.530000000002
2017-06-22,11108.270000000002
2017-06-26,11060.820000000002
2017-06-26,11225.010000000002
2017-06-28,11060.820000000002
2017-06-30,11070.880000000001
2017-06-30,11071.490000000002
2017-07-13,11038.740000000002
2017-07-26,11209.690000000002
2017-07-28,11038.740000000002
2017-07-31,11039.350000000002
2017-07-31,11049.750000000002
2017-08-02,6049.750000000002
2017-08-02,11049.750000000002
2017-08-02,4675.720000000002
2017-08-02,4674.370000000002
2017-08-04,4656.370000000002
2017-08-07,4634.5700000000015
2017-08-11,4619.350000000001
2017-08-11,4551.5700000000015
2017-08-16,4542.670000000002
2017-08-16,4516.690000000002
2017-08-21,4508.210000000003
2017-08-23,4493.5300000000025
2017-08-24,4489.7400000000025
2017-08-28,4541.840000000003
2017-08-30,4489.7400000000025
2017-08-31,4488.060000000002
2017-08-31,4488.480000000002
2017-08-31,4496.4900000000025
2017-09-04,4491.4900000000025
2017-09-04,4484.0300000000025
2017-09-04,4458.430000000002
2017-09-04,4433.2800000000025
2017-09-06,4183.2800000000025
2017-09-13,4173.680000000002
2017-09-13,4166.840000000002
2017-09-15,4165.160000000002
2017-09-18,4136.910000000002
2017-09-21,5368.3200000000015
2017-09-25,5353.910000000002
2017-09-25,5377.970000000002
2017-09-26,5377.980000000002
2017-09-26,5607.820000000002
2017-09-27,5599.910000000003
2017-09-28,5598.230000000002
2017-09-28,5368.390000000002
2017-09-30,5376.340000000002
2017-09-30,5376.760000000002
2017-10-02,5368.310000000002
2017-10-02,5345.710000000002
2017-10-02,5335.960000000002
2017-10-03,5329.190000000001
2017-10-03,5308.5700000000015
2017-10-04,5511.030000000002
2017-10-05,6860.140000000001
2017-10-17,6848.840000000001
2017-10-19,6847.260000000001
2017-10-19,8196.37
2017-10-20,8188.460000000001
2017-10-23,8012.860000000001
2017-10-23,7977.6
2017-10-24,7727.6
2017-10-26,7838.740000000001
2017-10-30,7828.580000000001
2017-10-30,7828.080000000001
2017-10-30,7811.850000000001
2017-10-30,7700.710000000001
2017-10-31,7690.930000000001
2017-10-31,7699.710000000001
2017-10-31,7700.450000000001
2017-11-02,9049.560000000001
2017-11-03,9046.180000000002
2017-11-07,8546.180000000002
2017-11-07,8510.390000000001
2017-11-11,9712.850000000002
2017-11-12,12406.180000000002
2017-11-13,12156.180000000002
2017-11-15,10156.180000000002
2017-11-16,11505.290000000003
2017-11-17,11497.770000000002
2017-11-20,11463.880000000003
2017-11-20,11456.580000000004
2017-11-22,11449.280000000004
2017-11-25,11427.280000000004
2017-11-25,11449.280000000004
2017-11-25,11427.280000000004
2017-11-25,11104.830000000004
2017-11-27,11373.150000000003
2017-11-27,11123.150000000003
2017-11-27,11223.150000000003
2017-11-28,9223.150000000003
2017-11-29,8954.830000000004
2017-11-30,8955.970000000003
2017-11-30,8964.470000000003
2017-11-30,10313.580000000004
2017-12-04,10200.590000000004
2017-12-06,10180.440000000004
2017-12-07,10193.330000000004
2017-12-08,10178.450000000004
2017-12-08,10018.450000000004
2017-12-12,9979.540000000005
2017-12-14,11328.650000000005
2017-12-16,11278.650000000005
2017-12-18,11261.810000000005
2017-12-18,11238.510000000006
2017-12-21,14478.720000000005
2017-12-27,14933.510000000006
2017-12-28,16282.620000000006
2017-12-28,16756.420000000006
2017-12-29,16301.630000000005
2017-12-31,16310.420000000006
2017-12-31,16311.860000000006
2018-01-02,16336.860000000006
2018-01-02,16307.510000000006
2018-01-10,16306.380000000006
